Control Ref. No,Control Name,Control Description,Questionnares,Evidence Required,Client Remark,Auditor Observations,Risk,Recommendations,Status
,,,"10. How does your organization ensure compliance with regulatory encryption requirements?
 
 A) Encryption practices are aligned with GDPR, PCI DSS, HIPAA, and ISO/IEC 27017
 B) Compliance requirements are considered optional
 C) Encryption is performed, but compliance is not formally verified
 D) There is no structured approach to compliance verification
 Answer: A","Regulatory Compliance Documentation: Reports showing that encryption controls align with GDPR, PCI DSS, HIPAA, and ISO 27017 requirements.",FALSE,,,,
CLD.7.2,Cloud Data Classification and Handling,"ISO/IEC 27017 mandates that organizations establish data classification and handling policies to protect sensitive cloud data based on risk, compliance, and business needs. This includes defining classification levels (e.g., Public, Internal, Confidential, Restricted), applying data labeling, enforcing access controls, implementing data masking, and aligning with regulatory requirements like GDPR and HIPAA.","1. Does your organization have a formal data classification policy for cloud-stored data?
 
 A) Yes, data is classified based on sensitivity and regulatory requirements
 B) Some data is classified, but not all cloud data is covered
 C) There is no formal data classification policy in place
 D) Data classification is left to individual users' discretion
 Answer: A","Data Classification Policy: A formal documented policy defining classification levels (e.g., Public, Internal, Confidential, Restricted).",FALSE,,,,
,,,"2. How does your organization enforce access control based on data classification levels?
 
 A) Access is granted based on role-based access control (RBAC) and data sensitivity
 B) All employees have equal access to all data
 C) Access control is applied manually on an ad-hoc basis
 D) Data access is unrestricted, and classification does not affect permissions
 Answer: A",Access Control Reports: Evidence of role-based access control (RBAC) enforcement for classified data.,FALSE,,,,
,,,"3. What classification levels does your organization use for cloud-stored data?
 
 A) Public, Internal, Confidential, Restricted (or similar levels)
 B) All data is treated the same with no classification
 C) Classification is applied to only a few critical datasets
 D) Classification levels change dynamically without formal documentation
 Answer: A",Data Labeling Records: Proof of automatic or manual data labeling/tagging in cloud environments.,FALSE,,,,
,,,"4. How does your organization ensure that classified data is labeled appropriately in cloud storage?
 
 A) Data is labeled automatically using metadata tagging and DLP solutions
 B) Labeling is a manual process and inconsistently applied
 C) Data labeling is not enforced across cloud environments
 D) Users decide whether to label data without any formal requirements
 Answer: A",Retention Policy Documentation: Policies defining data retention periods for each classification level.,FALSE,,,,
,,,"5. How are retention policies enforced for different data classification levels?
 
 A) Retention policies are defined based on regulatory and business requirements
 B) Retention periods are arbitrary and not formally documented
 C) Data is retained indefinitely without regard to classification levels
 D) Users decide retention periods individually without guidance
 Answer: A",Data Masking Implementation Evidence: Proof that masking techniques are applied to sensitive classified data.,FALSE,,,,
,,,"6. Does your organization implement data masking for classified data in cloud environments?
 
 A) Yes, data masking is used to protect sensitive information
 B) No, full data visibility is available to all authorized users
 C) Data masking is applied only for external access but not internally
 D) Masking is implemented inconsistently and without clear policies
 Answer: A","Regulatory Compliance Mapping: Documentation showing alignment with GDPR, HIPAA, and other compliance frameworks.",FALSE,,,,
,,,"7. How does your organization ensure compliance with data classification regulations such as GDPR and HIPAA?
 
 A) Classification policies align with regulatory and industry standards
 B) Compliance is assumed without formal classification enforcement
 C) Data classification is performed but not mapped to regulatory requirements
 D) There is no compliance tracking for classified data
 Answer: A",Encryption & Security Controls: Logs showing encryption usage for highly classified data in cloud storage and transit.,FALSE,,,,
,,,"8. How does your organization prevent unauthorized access to highly classified data in the cloud?
 
 A) Encryption, access controls, monitoring, and strict authorization
 B) Only username and password authentication is used for protection
 C) Classified data is accessible to all internal employees without restrictions
 D) No additional security controls are applied beyond default cloud settings
 Answer: A",Cloud Audit Logs: Evidence of monitoring and enforcement of classification policies.,FALSE,,,,
,,,"9. How does your organization verify the effectiveness of data classification policies?
 
 A) Through regular audits, monitoring, and policy enforcement reviews
 B) Effectiveness is assumed and not formally reviewed
 C) Employees provide feedback, but there are no structured audits
 D) There is no mechanism in place to verify data classification enforcement
 Answer: A",Incident Response Records: Documentation of how classified data security incidents are managed.,FALSE,,,,
,,,"10. How does your organization handle classified data when transferring it between cloud services?
 
 A) Data encryption, access controls, and secure transfer protocols are enforced
 B) Data is transferred without encryption but monitored
 C) Transfers are performed manually without security checks
 D) No specific measures are in place for classified data transfers
 Answer: A",Employee Training & Awareness Reports: Proof that staff is trained on data classification and handling procedures.,FALSE,,,,
CLD.7.3,Cloud Data Loss Prevention (DLP),"ISO/IEC 27017 mandates organizations to implement Cloud Data Loss Prevention (DLP) controls to mitigate data exfiltration risks. This includes content inspection, file monitoring, endpoint DLP policies, and automated detection mechanisms to prevent unauthorized data leakage, transfer, or sharing. DLP solutions help enforce compliance with GDPR, HIPAA, and PCI DSS by restricting sensitive data movement across cloud environments.","1. Does your organization have a Data Loss Prevention (DLP) policy in place for cloud environments?
 
 A) Yes, a formal DLP policy is enforced across cloud services
 B) There is no specific DLP policy in place
 C) DLP is only applied to on-premises data, not cloud environments
 D) Employees are responsible for securing their own data without formal controls
 Answer: A",DLP Policy Documentation: A formal Data Loss Prevention policy covering cloud environments.,FALSE,,,,
,,,"2. What techniques does your organization use to detect and prevent unauthorized data transfers?
 
 A) Content inspection, file monitoring, and behavioral analytics
 B) Manual review of file transfers on an ad-hoc basis
 C) No proactive measures are in place to prevent data leaks
 D) Data transfers are allowed without restriction, relying on user discretion
 Answer: A","DLP Rule Configuration Reports: Evidence that DLP policies are enforced across cloud storage, email, and collaboration tools.",FALSE,,,,
,,,"3. How does your organization prevent sensitive data from being exfiltrated through cloud applications?
 
 A) Cloud DLP rules monitor and block unauthorized data sharing
 B) Only firewalls are used, without cloud-specific DLP enforcement
 C) There is no monitoring for data exfiltration in cloud applications
 D) Employees are trusted to prevent data leaks without automated controls
 Answer: A",Incident Response Logs: Records showing DLP alerts and responses to data exfiltration attempts.,FALSE,,,,
,,,"4. Does your organization use automated DLP tools to inspect files and messages for sensitive data?
 
 A) Yes, automated DLP solutions scan content for policy violations
 B) Only manual inspections are performed when a data breach is suspected
 C) No file scanning is implemented for sensitive data in cloud storage
 D) Files are encrypted, but no further inspections are performed
 Answer: A","Cloud Monitoring Reports: Proof of file scanning, content inspection, and anomaly detection.",FALSE,,,,
,,,"5. How does your organization ensure that endpoint devices comply with cloud DLP policies?
 
 A) Endpoint DLP agents enforce security rules on managed devices
 B) Employees are responsible for securing their own devices
 C) DLP policies only apply to cloud storage, not endpoints
 D) There are no controls on endpoint devices for data loss prevention
 Answer: A",Endpoint DLP Enforcement Logs: Evidence of DLP agents on managed devices and enforced security policies.,FALSE,,,,
,,,"6. What actions are taken when a DLP rule is triggered in your cloud environment?
 
 A) Alerts are generated, and automatic blocking or encryption is applied
 B) Incidents are logged but no automatic action is taken
 C) DLP violations are only reviewed during periodic security audits
 D) There are no automated responses to potential data loss events
 Answer: A",User Access & Sharing Controls: Reports showing how sensitive data sharing is restricted in cloud applications.,FALSE,,,,
,,,"7. How does your organization classify sensitive data for effective DLP enforcement?
 
 A) Data is categorized based on sensitivity levels (e.g., Confidential, Restricted)
 B) No classification framework is in place for DLP implementation
 C) Only personally identifiable information (PII) is classified, not all sensitive data
 D) Data classification is applied manually without automated enforcement
 Answer: A","DLP Compliance Mapping: Documentation proving alignment with GDPR, HIPAA, and PCI DSS requirements.",FALSE,,,,
,,,"8. How are cloud collaboration tools (e.g., Google Drive, Microsoft OneDrive) monitored for potential data leaks?
 
 A) DLP rules scan shared files for sensitive data and apply restrictions
 B) File sharing is unrestricted, relying on user judgment
 C) Only external sharing is monitored, but internal transfers are not
 D) No monitoring is in place for data shared through cloud collaboration tools
 Answer: A",Audit & Review Reports: Evidence that DLP policies are reviewed and updated regularly.,FALSE,,,,
,,,"9. Does your organization have a process for reviewing and updating DLP policies?
 
 A) Yes, policies are reviewed regularly and updated based on risk assessments
 B) Policies are created once but not actively maintained
 C) Only IT teams review DLP settings, without formal policy updates
 D) There is no structured approach to DLP policy review and updates
 Answer: A",Security Awareness Training Reports: Proof that employees are trained on cloud DLP best practices.,FALSE,,,,
,,,"10. How does your organization ensure compliance with regulatory requirements related to data loss prevention?
 
 A) DLP controls align with GDPR, HIPAA, PCI DSS, and ISO/IEC 27017
 B) Compliance is considered but not enforced through DLP mechanisms
 C) Data protection relies on encryption alone, without DLP rules
 D) There is no regulatory compliance strategy related to DLP
 Answer: A","Automated Remediation Logs: Documentation showing how DLP rules trigger automated security actions (e.g., blocking, encrypting, alerting).",FALSE,,,,
CLD.8.1,Cloud Network Security,"ISO/IEC 27017 mandates organizations to implement Cloud Network Security controls to protect cloud infrastructure and data against unauthorized access, attacks, and breaches. This includes firewalls, Virtual Private Cloud (VPC), network segmentation, secure access controls, VPNs, Intrusion Detection and Prevention Systems (IDS/IPS), secure communication protocols, and Zero Trust Architecture to ensure a robust and compliant cloud security posture.","1. How does your organization enforce network segmentation in cloud environments?
 
 A) Using Virtual Private Clouds (VPCs), subnets, and security groups
 B) There is no segmentation; all resources share the same network
 C) Firewalls are used, but no specific segmentation strategy is in place
 D) Network segmentation is manually configured on an ad-hoc basis
 Answer: A","Network Security Policy: A documented policy detailing firewall rules, VPC segmentation, and access control.",FALSE,,,,
,,,"2. Does your organization utilize firewalls to protect cloud-based workloads?
 
 A) Yes, firewalls are implemented at network and host levels
 B) Only on-premises firewalls are used, not cloud-based firewalls
 C) Firewalls are not used, relying solely on application security
 D) Cloud services come with default protection, so firewalls are unnecessary
 Answer: A",Firewall Configuration Reports: Evidence that cloud firewalls and security groups are configured properly.,FALSE,,,,
,,,"3. How is secure remote access to cloud resources ensured?
 
 A) VPNs, Multi-Factor Authentication (MFA), and identity-based access controls
 B) Remote access is unrestricted and open to all users
 C) Employees use personal credentials without additional security controls
 D) Access is granted based on static IP addresses alone
 Answer: A","VPN & Secure Access Logs: Proof of secure remote access enforcement using VPNs, MFA, and restricted access policies.",FALSE,,,,
,,,"4. How does your organization detect and respond to network-based threats in the cloud?
 
 A) Intrusion Detection and Prevention Systems (IDS/IPS) with automated alerts
 B) Threats are manually reviewed without real-time monitoring
 C) No threat detection is in place for cloud networks
 D) Only antivirus software is used for threat detection
 Answer: A",IDS/IPS Monitoring Reports: Logs showing network intrusion detection and prevention measures in place.,FALSE,,,,
,,,"5. How does your organization secure data transmission across cloud networks?
 
 A) Encrypted communication using TLS/SSL and IPsec VPNs
 B) Data is transferred in plaintext within the internal network
 C) Security for data transmission is not enforced
 D) Encryption is only used for internet-facing traffic, not internal traffic
 Answer: A","Cloud Network Segmentation Design: Documentation on VPC structure, microsegmentation, and security zoning.",FALSE,,,,
,,,"6. How is least privilege access enforced for cloud network management?
 
 A) Role-Based Access Control (RBAC) and Just-In-Time (JIT) access
 B) All administrators have full network access without restrictions
 C) Network access permissions are assigned manually as needed
 D) No formal policy for least privilege access exists
 Answer: A",Data Encryption in Transit Logs: Evidence that TLS/SSL or IPsec VPNs are enforced for data transfers.,FALSE,,,,
,,,"7. What measures are in place to prevent unauthorized lateral movement within the cloud network?
 
 A) Microsegmentation, network policies, and Zero Trust security
 B) No restrictions, as long as users are authenticated
 C) Access is granted at the network perimeter without internal segmentation
 D) Lateral movement is monitored but not actively restricted
 Answer: A",Zero Trust Policy Implementation: Documentation demonstrating least privilege access and microsegmentation strategies.,FALSE,,,,
,,,"8. How frequently does your organization review cloud network security configurations?
 
 A) Regular security audits and automated configuration assessments
 B) Only when a security incident occurs
 C) Configuration reviews are done manually on an infrequent basis
 D) Cloud security configurations are never reviewed after initial setup
 Answer: A","Cloud Security Compliance Reports: Proof of alignment with ISO/IEC 27017, NIST, CIS, and industry best practices.",FALSE,,,,
,,,"9. How does your organization prevent unauthorized API access to cloud network resources?
 
 A) API security policies, rate limiting, authentication, and encryption
 B) APIs are accessible to all users without restrictions
 C) API access control is handled only at the application level
 D) API keys are used but not regularly rotated
 Answer: A","API Security Policies & Logs: Evidence that API access is secured using authentication, rate limiting, and monitoring.",FALSE,,,,
,,,"10. How does your organization enforce compliance with cloud network security standards?
 
 A) Continuous compliance monitoring, audits, and adherence to ISO 27017, NIST, and CIS benchmarks
 B) Compliance is assumed but not actively monitored
 C) Network security is evaluated only during annual audits
 D) There are no formal compliance measures for cloud network security
 Answer: A",Cloud Network Security Audit Reports: Documentation of periodic reviews and remediation of security misconfigurations.,FALSE,,,,
CLD.8.2,Secure API Management,"ISO/IEC 27017 requires organizations to secure API communications by implementing API gateway security, authentication (OAuth, API keys), rate limiting, and encryption to prevent data leakage, unauthorized access, and abuse. Web Application Firewalls (WAFs) and DLP policies must be enforced to monitor API traffic and protect against threats like API abuse, injection attacks, and data exfiltration.","1. How does your organization enforce authentication for API access?
 
 A) OAuth, API keys, and federated authentication mechanisms
 B) No authentication is required for public APIs
 C) API authentication is left to developers without a standard policy
 D) User credentials are stored in plaintext for authentication
 Answer: A","API Security Policy: A formal policy defining API authentication, encryption, and access controls.",FALSE,,,,
,,,"2. How does your organization prevent API abuse and excessive usage?
 
 A) Rate limiting, throttling, and API gateway controls
 B) No limits are imposed on API usage
 C) API abuse is monitored but no preventive measures are enforced
 D) API security is only checked when performance issues arise
 Answer: A","API Gateway Logs & Configuration: Evidence of rate limiting, authentication enforcement, and access controls.",FALSE,,,,
,,,"3. What security controls are in place to protect APIs from injection attacks (e.g., SQL Injection, XML Injection)?
 
 A) Web Application Firewalls (WAFs), input validation, and threat monitoring
 B) API security is handled by endpoint applications, not at the API level
 C) APIs rely on user trust without validation mechanisms
 D) No controls are in place to mitigate injection risks
 Answer: A",WAF Implementation Report: Proof of Web Application Firewall (WAF) rules protecting API endpoints.,FALSE,,,,
,,,"4. How does your organization ensure that sensitive data transmitted through APIs is secure?
 
 A) TLS/SSL encryption and tokenization for sensitive data
 B) Data is transmitted in plaintext for performance optimization
 C) Encryption is used only for external APIs, not internal ones
 D) API traffic is assumed to be secure without verification
 Answer: A",Encryption Enforcement Logs: Documentation of TLS/SSL usage for API data transmission.,FALSE,,,,
,,,"5. How does your organization prevent unauthorized API calls from external users?
 
 A) Access control mechanisms, token validation, and IP whitelisting
 B) All APIs are publicly accessible by default
 C) No specific restrictions are applied to external API calls
 D) Only a basic username-password authentication is used
 Answer: A",DLP Policy for API Traffic: Evidence that sensitive data is restricted from unauthorized exposure via APIs.,FALSE,,,,
,,,"6. What measures are taken to protect against API data leakage?
 
 A) Data Loss Prevention (DLP) policies, role-based access controls (RBAC), and logging
 B) API endpoints expose all data without access restrictions
 C) API traffic is encrypted but no additional data protection is enforced
 D) Data leakage is only investigated after incidents occur
 Answer: A",API Security Monitoring Reports: Logs showing real-time monitoring and logging of API activity.,FALSE,,,,
,,,"7. How often are API security configurations and access controls reviewed?
 
 A) Regular security audits, automated scanning, and continuous monitoring
 B) API security settings are checked only when issues arise
 C) API security configurations are reviewed annually but not actively enforced
 D) API security settings are not reviewed after initial implementation
 Answer: A","Access Control Audit Logs: Proof of RBAC, OAuth, and IP-based restrictions on API usage.",FALSE,,,,
,,,"8. How does your organization monitor and log API activities for security incidents?
 
 A) Centralized logging, real-time monitoring, and anomaly detection
 B) API activity logs are only reviewed when an incident is reported
 C) API logs are generated but not actively analyzed
 D) No API activity logging is in place
 Answer: A",Third-Party API Security Assessments: Documentation verifying risk assessments for third-party API integrations.,FALSE,,,,
,,,"9. What is your organization’s approach to securing third-party APIs integrated into cloud services?
 
 A) Security assessments, API sandbox testing, and access controls
 B) Third-party APIs are used without security reviews
 C) API security is assumed to be managed by the provider
 D) No specific security checks are performed for third-party APIs
 Answer: A",API Security Incident Reports: Records of security incidents related to API abuse and mitigation actions taken.,FALSE,,,,
,,,"10. How does your organization ensure API security compliance with regulations like GDPR and ISO/IEC 27017?
 
 A) APIs enforce data minimization, encryption, and secure authentication
 B) Compliance is considered but not technically enforced through APIs
 C) API security is checked only when requested by regulatory auditors
 D) No formal compliance approach exists for API security
 Answer: A","Regulatory Compliance Reports: Evidence that API security aligns with ISO/IEC 27017, GDPR, and industry standards.",FALSE,,,,
CLD.8.3,Cloud Perimeter Defense,"ISO/IEC 27017 mandates Cloud Perimeter Defense to prevent unauthorized access, intrusion, and network-based attacks. This includes cloud-native firewalls, cloud-based Intrusion Detection and Prevention Systems (IDS/IPS), Network Access Control (NAC), and security group policies. Organizations must implement strict inbound/outbound traffic rules, segmentation, and continuous monitoring to secure cloud perimeters against cyber threats.","1. How does your organization control inbound and outbound traffic to cloud environments?
 
 A) Cloud-native firewalls and security group policies
 B) Traffic is unrestricted to allow flexibility
 C) Network traffic rules are only configured during setup and not reviewed regularly
 D) Only default cloud provider security settings are used
 Answer: A","Cloud Firewall Configuration Reports: Evidence of firewall rules, inbound/outbound traffic controls, and network policies.",FALSE,,,,
,,,"2. What measures are in place to detect and respond to unauthorized network intrusions in the cloud?
 
 A) Cloud-based IDS/IPS with real-time monitoring and automated alerts
 B) Manual review of logs without automated intrusion detection
 C) No intrusion detection is implemented
 D) Only endpoint security solutions are relied upon
 Answer: A",IDS/IPS Logs and Reports: Documentation proving active threat detection and response mechanisms.,FALSE,,,,
,,,"3. How does your organization enforce network access control for cloud resources?
 
 A) Role-based access, security groups, and least privilege principles
 B) Any user can access cloud resources without restrictions
 C) Network access is managed manually without defined policies
 D) Default access settings are used without modifications
 Answer: A",Security Group Policies: Proof that least privilege access and segmentation are enforced.,FALSE,,,,
,,,"4. How are cloud firewalls configured to protect against external threats?
 
 A) Deny-all policy by default with whitelisted allowed traffic
 B) All traffic is allowed by default for convenience
 C) Only internal traffic filtering is enforced, without external controls
 D) Firewalls are in place but not actively monitored
 Answer: A",Network Access Control Logs: Logs demonstrating NAC enforcement and access restriction policies.,FALSE,,,,
,,,"5. What protections are in place to prevent lateral movement of attackers within the cloud network?
 
 A) Microsegmentation, VPC security policies, and network zoning
 B) All internal network traffic is allowed without restrictions
 C) Internal traffic is monitored but not actively restricted
 D) Network segmentation is not implemented in the cloud
 Answer: A","Microsegmentation Documentation: Evidence of network zoning, segmentation, and isolation of cloud workloads.",FALSE,,,,
,,,"6. How does your organization ensure security group policies are properly configured and reviewed?
 
 A) Regular audits, automated configuration scans, and least privilege enforcement
 B) Security groups are defined once and not regularly updated
 C) All security groups allow unrestricted access for easier deployment
 D) No formal security group policies are in place
 Answer: A",Cloud Perimeter Security Audit Reports: Reports showing regular security assessments and remediation actions.,FALSE,,,,
,,,"7. How do you ensure cloud perimeter defense is compliant with industry security standards?
 
 A) Continuous monitoring, compliance audits, and ISO 27017 alignment
 B) Compliance is checked only when an audit is scheduled
 C) Cloud security settings are assumed to be compliant without verification
 D) No compliance checks are performed for perimeter security
 Answer: A",Incident Response Playbooks: Formal procedures detailing response actions for perimeter defense breaches.,FALSE,,,,
,,,"8. What controls are in place to prevent Distributed Denial of Service (DDoS) attacks on cloud services?
 
 A) DDoS protection services, traffic filtering, and automated rate limiting
 B) No specific protections are in place for DDoS attacks
 C) DDoS protection is only considered after an attack occurs
 D) All inbound traffic is allowed, assuming no DDoS threats exist
 Answer: A","DDoS Protection Implementation Proof: Evidence of rate limiting, traffic filtering, and DDoS mitigation strategies.",FALSE,,,,
,,,"9. How frequently does your organization review firewall and IDS/IPS rules for cloud environments?
 
 A) Regular security assessments, automated rule validation, and log analysis
 B) Firewall rules are reviewed only when a security incident occurs
 C) Firewall settings are applied once and never revisited
 D) IDS/IPS configurations are not reviewed regularly
 Answer: A","Compliance Audit Reports: Documentation showing adherence to ISO/IEC 27017, NIST, and CIS cloud security benchmarks.",FALSE,,,,
,,,"10. How does your organization handle security incidents related to perimeter defense breaches?
 
 A) Incident response playbooks, logging, forensic analysis, and mitigation actions
 B) Incidents are addressed reactively without predefined procedures
 C) Only critical security incidents are investigated, while minor ones are ignored
 D) No formal incident response plan exists for perimeter security breaches
 Answer: A","Automated Monitoring & Alerting Proof: Logs from SIEM solutions, automated security monitoring, and cloud security tools.",FALSE,,,,
CLD.9.1,Cloud Logging & Security Event Monitoring,"ISO/IEC 27017 mandates comprehensive security event monitoring to detect, respond to, and mitigate threats in cloud environments. Organizations must implement Security Information and Event Management (SIEM) solutions, log analysis, and automated threat detection. Cloud logging (e.g., AWS CloudTrail, Azure Monitor) must be enabled for forensics, compliance, and incident handling. Logs should be securely stored, analyzed in real-time, and regularly reviewed to ensure effective monitoring.","1. How does your organization ensure security logs are collected and monitored in cloud environments?
 
 A) Using centralized logging solutions such as SIEM, CloudTrail, or Azure Monitor
 B) Logs are stored but not actively monitored
 C) Only critical logs are collected, and others are discarded
 D) Logging is not implemented for cloud environments
 Answer: A","Log Management Policy: Documentation defining log collection, storage, retention, and security requirements.",FALSE,,,,
,,,"2. What mechanisms are in place to detect and alert on security events in real time?
 
 A) Automated threat detection, SIEM correlation, and alerting mechanisms
 B) Security teams manually review logs when incidents occur
 C) Alerts are only generated for known attack signatures, without anomaly detection
 D) No automated security event detection is implemented
 Answer: A","SIEM Configuration & Reports: Proof of SIEM deployment, correlation rules, and incident response automation.",FALSE,,,,
,,,"3. How are logs protected from unauthorized modification or deletion?
 
 A) Write-once, read-many (WORM) storage, access controls, and encryption
 B) Logs are stored in plaintext without security controls
 C) Log files can be modified by any user with cloud access
 D) Logs are only retained temporarily and are not secured
 Answer: A","Cloud Logging Configuration: Evidence of AWS CloudTrail, Azure Monitor, or similar logging mechanisms.",FALSE,,,,
,,,"4. How does your organization handle log retention and compliance requirements?
 
 A) Logs are retained based on regulatory requirements (e.g., GDPR, ISO 27017, PCI DSS)
 B) Logs are deleted after a short period to save storage costs
 C) Retention policies are not defined, and logs are stored indefinitely
 D) Only operational logs are retained, while security logs are discarded
 Answer: A","Log Integrity Proof: Evidence of WORM storage, access controls, and encryption to prevent log tampering.",FALSE,,,,
,,,"5. What measures are in place to correlate cloud security events for threat detection?
 
 A) SIEM integration, log correlation, and behavioral analytics
 B) Logs are stored but not correlated for analysis
 C) Each system generates logs independently without a unified view
 D) Security event correlation is done only in case of major incidents
 Answer: A","Threat Detection Reports: Logs demonstrating automated anomaly detection, correlation, and threat analysis.",FALSE,,,,
,,,"6. How does your organization ensure logs are reviewed regularly?
 
 A) Automated log analysis, scheduled manual reviews, and compliance audits
 B) Logs are only reviewed when an incident occurs
 C) Log reviews are conducted annually, with no real-time monitoring
 D) Security logs are never reviewed due to resource constraints
 Answer: A","Incident Response Reports: Documentation of past incidents, investigations, and remediation actions.",FALSE,,,,
,,,"7. What incident response mechanisms are in place for detected security events?
 
 A) Automated response actions, security playbooks, and forensics investigations
 B) Security events are recorded but not acted upon immediately
 C) Incidents are investigated manually without predefined response processes
 D) No formal incident response plan exists for cloud security events
 Answer: A",Log Retention & Compliance Reports: Records showing log retention policies meeting ISO 27017 and regulatory requirements.,FALSE,,,,
,,,"8. How does your organization ensure audit logs are available for forensic investigations?
 
 A) Secure storage, access control, and long-term retention of logs
 B) Logs are stored but can be deleted by any administrator
 C) Logs are not kept long enough for forensic analysis
 D) Audit logs are not used for forensic investigations
 Answer: A",Real-Time Alerting & Monitoring Logs: Screenshots or reports from security tools showing automated alerts and monitoring activities.,FALSE,,,,
,,,"9. How do you ensure compliance with regulatory logging requirements (e.g., ISO 27017, GDPR, PCI DSS)?
 
 A) Audit logs are configured according to compliance requirements and regularly reviewed
 B) Compliance logging is considered but not enforced through policies
 C) Logs are collected but not assessed for compliance
 D) Compliance logs are only generated during external audits
 Answer: A",Access Control Logs: Proof that only authorized personnel can access and manage security logs.,FALSE,,,,
,,,"10. How does your organization detect anomalous behavior in cloud environments?
 
 A) Machine learning-based analytics, behavior anomaly detection, and SIEM alerts
 B) Security teams manually inspect logs for suspicious activity
 C) Only signature-based detection is used, without anomaly analysis
 D) Anomaly detection is not part of cloud security monitoring
 Answer: A",Forensic Investigation Reports: Past forensic cases where log analysis played a role in security incident resolution.,FALSE,,,,
CLD.9.2,Cloud Threat Intelligence,"ISO/IEC 27017 emphasizes Cloud Threat Intelligence to proactively detect and mitigate cyber threats. Organizations must leverage threat hunting, anomaly detection, external intelligence feeds, and AI-based security analytics to identify risks in real time. Cloud security teams should integrate automated threat intelligence platforms (TIPs), SIEM correlation, and behavioral analysis to enhance security posture and respond to evolving threats effectively.","1. How does your organization collect and analyze external threat intelligence relevant to cloud security?
 
 A) Integrating external threat feeds (e.g., MITRE ATT&CK, VirusTotal, FS-ISAC) into security monitoring
 B) Relying only on internal logs without external intelligence sources
 C) Manually researching threats without automated intelligence platforms
 D) No threat intelligence mechanisms are implemented
 Answer: A","Threat Intelligence Policy: Formal documentation of how threat intelligence is collected, analyzed, and acted upon.",FALSE,,,,
,,,"2. What measures are in place for proactive threat hunting in cloud environments?
 
 A) Dedicated threat-hunting teams, anomaly detection tools, and forensic analysis
 B) Waiting for security alerts before investigating threats
 C) Only reviewing logs manually after a security incident
 D) No threat-hunting activities are performed
 Answer: A",Threat Intelligence Platform (TIP) Logs: Reports showing integration of threat feeds from external sources.,FALSE,,,,
,,,"3. How does your organization use AI and machine learning for cloud threat intelligence?
 
 A) AI-based security analytics for behavior detection, anomaly identification, and automated response
 B) AI is used only for general IT automation, not security
 C) Threat detection relies purely on signature-based methods
 D) No AI-driven analytics are used for threat intelligence
 Answer: A",SIEM Threat Detection Reports: Logs demonstrating correlation of threat intelligence with cloud security events.,FALSE,,,,
,,,"4. How are anomalies detected within your cloud infrastructure?
 
 A) Behavioral analytics, AI-driven anomaly detection, and real-time monitoring
 B) Manual review of logs without automated detection
 C) Relying on predefined attack signatures without behavioral analysis
 D) Anomalies are only detected after a security breach has occurred
 Answer: A",Anomaly Detection Reports: Evidence of AI-driven behavioral analytics and detection of abnormal cloud activities.,FALSE,,,,
,,,"5. What platforms does your organization use to integrate cloud threat intelligence?
 
 A) Security Information and Event Management (SIEM), Threat Intelligence Platforms (TIPs), and cloud-native security tools
 B) Only basic firewall logging without intelligence feeds
 C) Manual tracking of security threats without centralized monitoring
 D) No dedicated threat intelligence platforms are used
 Answer: A",Threat Hunting Logs: Proof of proactive hunting for threats within the cloud environment.,FALSE,,,,
,,,"6. How do you ensure that external threat intelligence sources are reliable and up to date?
 
 A) Continuous validation, curated threat feeds, and collaboration with intelligence-sharing communities
 B) Using free and unverified sources for cost savings
 C) Relying only on static lists without frequent updates
 D) No verification process is followed for threat intelligence sources
 Answer: A",Incident Response Reports: Documentation of threat intelligence-driven incident response actions.,FALSE,,,,
,,,"7. What actions are taken when a new cloud-related threat is identified?
 
 A) Threat response workflows, automated mitigation, and security patching
 B) Security teams are notified, but no immediate action is taken
 C) The information is logged but not acted upon unless an attack occurs
 D) No defined process exists for responding to newly identified threats
 Answer: A",Threat Feed Validation Records: Logs or reports validating the accuracy and relevance of external threat intelligence sources.,FALSE,,,,
,,,"8. How does your organization ensure threat intelligence is shared across relevant teams?
 
 A) Automated intelligence distribution, SOC collaboration, and knowledge-sharing sessions
 B) Only security teams have access to threat intelligence, with no wider dissemination
 C) Intelligence is stored but not actively shared within the organization
 D) No formal process exists for sharing threat intelligence internally
 Answer: A",Threat Sharing & Communication Logs: Documentation showing how intelligence is shared across security teams.,FALSE,,,,
,,,"9. What metrics or KPIs are used to assess the effectiveness of cloud threat intelligence?
 
 A) Mean time to detect (MTTD), mean time to respond (MTTR), false positive rate, and threat correlation success rate
 B) No formal metrics are used to evaluate threat intelligence effectiveness
 C) Security incidents are tracked but not tied to specific intelligence insights
 D) Only high-profile attacks are analyzed, with no continuous tracking
 Answer: A","Regulatory Compliance Reports: Proof of alignment with ISO 27017, NIST, and other relevant cybersecurity standards.",FALSE,,,,
,,,"10. How does your organization ensure compliance with regulatory requirements regarding threat intelligence and threat detection?
 
 A) Threat intelligence policies aligned with ISO 27017, NIST, and regulatory frameworks
 B) Compliance is considered but not formally documented
 C) No formal compliance checks for threat intelligence activities
 D) Compliance is reviewed only during audits and not as a continuous process
 Answer: A","Security KPI Reports: Metrics demonstrating the effectiveness of threat intelligence activities (e.g., MTTD, MTTR, false positive rates, attack trends).",FALSE,,,,
